,GNIS_NAME,TPavg,chlaavg
0,Jordan Lake,11.59620253164557,2.2826315789473686
1,Mason Lake,83.39886363636363,46.40677631578947
2,,33.79821428571429,13.819814814814812
3,Wolf Lake,12.374534883720933,2.538
4,Butternut Lake,49.73228346456693,22.135999999999996
5,Bass Lake,18.916949152542376,5.086346153846154
6,Bear Lake,21.65,9.988703703703704
7,Beaver Dam Lake,10.996575342465755,2.8358055555555555
8,Big Dummy Lake,21.674179104477613,6.288653846153846
9,Big Moon Lake 6,43.847692307692306,17.182142857142857
10,Granite Lake,31.864197530864203,16.848870967741934
11,Red Cedar Lake,34.37586206896552,16.26330263157895
12,Kirby Lake,27.332835820895525,9.858596491228072
13,Lake Desair,79.28399999999999,38.0729347826087
14,Little Dummy Lake,22.268823529411765,7.385925925925925
15,Lower Turtle Lake,54.42758620689655,36.74541666666667
16,Red Cedar Lake,24.664336283185847,11.943437500000002
17,Maple Plain Rearing Pond 1,26.776041666666668,4.606551724137931
18,Silver Lake,13.246508875739645,4.5646249999999995
19,Upper Turtle Lake,42.797297297297305,25.11372881355932
20,Lower Eau Claire Lake,15.923629032258065,4.812801886792454
21,Middle Eau Claire Lake,16.444105263157894,3.4814444444444446
22,Garden Lake,32.309999999999995,10.805000000000001
23,Lake Tahkodah,15.089295774647892,4.830677966101696
24,Upper Eau Claire Lake,16.580967741935485,2.2492156862745096
25,McKenzie Lake,19.846534653465348,6.748055555555556
26,Birch Island Lake,14.988265306122448,3.0344303797468353
27,Cranberry Lake,18.442391304347826,4.903194444444444
28,Deer Lake,15.48,5.065371794871794
29,Johnson Lake,18.298354430379746,4.832656249999999
30,Lipsett Lake,26.208000000000002,15.270481927710843
31,Little Wood Lake,45.20133333333333,13.99908695652174
32,Lower McKenzie Lake,22.914545454545454,7.58317391304348
33,Cranberry Lake,21.52261904761905,5.54476923076923
34,Mud Hen Lake,19.05466666666667,5.41969696969697
35,Sand Lake,10.51372093023256,1.5082380952380952
36,Lake Winnebago 6124,104.36877862595419,35.237419354838714
37,Axhandle Lake,14.064761904761905,4.196315789473685
38,Long Lake,23.356129032258064,4.621284946236559
39,Round Lake,20.479259259259262,11.411428571428571
40,Sand Lake,13.82621359223301,3.9636538461538464
41,Clark Lake,8.055333333333335,2.4335781250000004
42,Kangaroo Lake,14.413237410071943,4.1431932773109255
43,Amnicon Lake,27.017692307692307,9.48110091743119
44,Lake Minnesuing,23.770238095238092,7.480454545454546
45,Lake Nebagamon,21.09166666666667,6.245211267605633
46,Lower Eau Claire Lake,15.923629032258065,4.812801886792454
47,Cranberry Lake,33.975,15.749154929577472
48,Person Lake,27.98108108108108,8.187627118644068
49,Saint Croix Flowage 282,22.441333333333336,4.529242424242423
50,Keyes Lake,11.27574074074074,1.9249037037037036
51,Lost Lake,11.268653846153846,3.3213
52,Patten Lake,18.3447572815534,4.613689655172415
53,Van Zile Lake,18.84074074074074,8.124772727272727
54,Lake Winnebago 6124,104.36877862595419,35.237419354838714
55,,22.235057471264373,5.2795
56,Butternut Lake,13.95185185185185,2.5694848484848483
57,Crane Lake,28.095945945945946,20.361428571428572
58,Franklin Lake,10.252941176470587,2.572141414141414
59,,37.59212121212121,20.522464788732393
60,Lake Lucerne,8.144065934065933,1.2405294117647059
61,Metonga Lake,15.62494845360825,2.1457051282051287
62,Pine Lake,31.0625,16.80672131147541
63,Sevenmile Lake,16.87595,4.560824742268041
64,Van Zile Lake,18.84074074074074,8.124772727272727
65,Green Lake,23.43066666666667,5.915916666666667
66,Little Green Lake,142.76125000000002,55.64857142857143
67,Puckaway Lake,111.0280487804878,54.3775641025641
